  4.290pH         23.3øC 27-12-2003 14:43:27
  4.399pH         26.6øC 28-12-2003 11:29:57
  4.399pH         26.6øC 28-12-2003 11:30:27
  4.400pH         26.6øC 28-12-2003 11:30:57
  4.399pH         26.6øC 28-12-2003 11:31:27
  4.400pH         26.6øC 28-12-2003 11:31:57
  4.400pH         26.6øC 28-12-2003 11:32:27
  4.400pH         26.6øC 28-12-2003 11:32:57
  4.400pH         26.6øC 28-12-2003 11:33:27
  4.400pH         26.6øC 28-12-2003 11:33:57
  4.400pH         26.6øC 28-12-2003 11:34:27
  4.400pH         26.6øC 28-12-2003 11:34:57
  4.400pH         26.6øC 28-12-2003 11:35:27
  4.400pH         26.6øC 28-12-2003 11:35:57
  4.400pH         26.6øC 28-12-2003 11:36:27
  4.400pH         26.6øC 28-12-2003 11:36:57
  4.400pH         26.6øC 28-12-2003 11:37:27
  4.400pH         26.6øC 28-12-2003 11:37:57
  4.400pH         26.6øC 28-12-2003 11:38:27
  4.400pH         26.6øC 28-12-2003 11:38:57
  4.400pH         26.6øC 28-12-2003 11:39:27
  4.400pH         26.6øC 28-12-2003 11:39:57
  4.400pH         26.6øC 28-12-2003 11:40:27
  4.400pH         26.6øC 28-12-2003 11:40:57
  4.400pH         26.6øC 28-12-2003 11:41:27
  4.400pH         26.6øC 28-12-2003 11:41:57
  4.400pH         26.6øC 28-12-2003 11:42:27
  4.400pH         26.6øC 28-12-2003 11:42:57
  4.400pH         26.7øC 28-12-2003 11:43:27
  4.400pH         26.6øC 28-12-2003 11:43:57
  4.400pH         26.7øC 28-12-2003 11:44:27
  4.400pH         26.6øC 28-12-2003 11:44:57
  4.400pH         26.6øC 28-12-2003 11:45:27
  4.400pH         26.6øC 28-12-2003 11:45:57
  4.400pH         26.6øC 28-12-2003 11:46:27
  4.400pH         26.6øC 28-12-2003 11:46:57
  4.400pH         26.6øC 28-12-2003 11:47:27
  4.400pH         26.6øC 28-12-2003 11:47:57
  4.400pH         26.6øC 28-12-2003 11:48:27
  4.400pH         26.6øC 28-12-2003 11:48:57
  4.399pH         26.6øC 28-12-2003 11:49:27
  4.400pH         26.6øC 28-12-2003 11:49:57
  4.400pH         26.6øC 28-12-2003 11:50:27
  4.400pH         26.6øC 28-12-2003 11:50:57
  4.400pH         26.6øC 28-12-2003 11:51:27
  4.400pH         26.6øC 28-12-2003 11:51:57
  4.400pH         26.6øC 28-12-2003 11:52:27
  4.400pH         26.6øC 28-12-2003 11:52:57
  4.400pH         26.6øC 28-12-2003 11:53:27
  4.400pH         26.6øC 28-12-2003 11:53:57
  4.400pH         26.6øC 28-12-2003 11:54:27
  4.400pH         26.6øC 28-12-2003 11:54:57
  4.400pH         26.6øC 28-12-2003 11:55:27
  4.400pH         26.6øC 28-12-2003 11:55:57
  4.400pH         26.6øC 28-12-2003 11:56:27
  4.400pH         26.6øC 28-12-2003 11:56:57
  4.400pH         26.6øC 28-12-2003 11:57:27
  4.400pH         26.6øC 28-12-2003 11:57:57
  4.400pH         26.6øC 28-12-2003 11:58:27
  4.400pH         26.6øC 28-12-2003 11:58:57
  4.400pH         26.6øC 28-12-2003 11:59:27
  4.400pH         26.6øC 28-12-2003 11:59:57
  4.400pH         26.6øC 28-12-2003 12:00:27
  4.400pH         26.6øC 28-12-2003 12:00:57
  4.400pH         26.6øC 28-12-2003 12:01:27
  4.400pH         26.6øC 28-12-2003 12:01:57
  4.400pH         26.6øC 28-12-2003 12:02:27
  4.400pH         26.6øC 28-12-2003 12:02:57
  4.400pH         26.6øC 28-12-2003 12:03:27
  4.400pH         26.6øC 28-12-2003 12:03:57
  4.400pH         26.7øC 28-12-2003 12:04:27
  4.400pH         26.6øC 28-12-2003 12:04:57
  4.400pH         26.6øC 28-12-2003 12:05:27
  4.400pH         26.6øC 28-12-2003 12:05:57
  4.400pH         26.6øC 28-12-2003 12:06:27
  4.400pH         26.6øC 28-12-2003 12:06:57
  4.400pH         26.6øC 28-12-2003 12:07:27
  4.399pH         26.6øC 28-12-2003 12:07:57
  4.399pH         26.6øC 28-12-2003 12:08:27
  4.400pH         26.6øC 28-12-2003 12:08:57
  4.400pH         26.6øC 28-12-2003 12:09:27
  4.400pH         26.6øC 28-12-2003 12:09:57
  4.400pH         26.6øC 28-12-2003 12:10:27
  4.399pH         26.6øC 28-12-2003 12:10:57
  4.399pH         26.6øC 28-12-2003 12:11:27
  4.400pH         26.6øC 28-12-2003 12:11:57
  4.400pH         26.6øC 28-12-2003 12:12:27
  4.400pH         26.6øC 28-12-2003 12:12:57
  4.400pH         26.6øC 28-12-2003 12:13:27
  4.400pH         26.6øC 28-12-2003 12:13:57
  4.400pH         26.6øC 28-12-2003 12:14:27
  4.400pH         26.6øC 28-12-2003 12:14:57
  4.399pH         26.6øC 28-12-2003 12:15:27
  4.399pH         26.6øC 28-12-2003 12:15:57
  4.400pH         26.6øC 28-12-2003 12:16:27
  4.399pH         26.6øC 28-12-2003 12:16:57
  4.400pH         26.6øC 28-12-2003 12:17:27
  4.399pH         26.6øC 28-12-2003 12:17:57
  4.399pH         26.6øC 28-12-2003 12:18:27
  4.399pH         26.6øC 28-12-2003 12:18:57
  4.400pH         26.6øC 28-12-2003 12:19:27
  4.399pH         26.6øC 28-12-2003 12:19:57
  4.400pH         26.6øC 28-12-2003 12:20:27
  4.399pH         26.6øC 28-12-2003 12:20:57
  4.399pH         26.6øC 28-12-2003 12:21:27
  4.399pH         26.6øC 28-12-2003 12:21:57
  4.399pH         26.6øC 28-12-2003 12:22:27
  4.399pH         26.6øC 28-12-2003 12:22:57
  4.399pH         26.6øC 28-12-2003 12:23:27
  4.399pH         26.6øC 28-12-2003 12:23:57
  4.398pH         26.5øC 28-12-2003 12:24:27
  4.398pH         26.5øC 28-12-2003 12:24:57
  4.399pH         26.5øC 28-12-2003 12:25:27
  4.399pH         26.5øC 28-12-2003 12:25:57
  4.399pH         26.5øC 28-12-2003 12:26:27
  4.399pH         26.5øC 28-12-2003 12:26:57
  4.399pH         26.5øC 28-12-2003 12:27:27
  4.399pH         26.5øC 28-12-2003 12:27:57
  4.399pH         26.5øC 28-12-2003 12:28:27
  4.399pH         26.5øC 28-12-2003 12:28:57
  4.399pH         26.5øC 28-12-2003 12:29:27
  4.399pH         26.5øC 28-12-2003 12:29:57
  4.398pH         26.5øC 28-12-2003 12:30:27
  4.398pH         26.5øC 28-12-2003 12:30:57
  4.399pH         26.5øC 28-12-2003 12:31:27
  4.399pH         26.5øC 28-12-2003 12:31:57
  4.398pH         26.5øC 28-12-2003 12:32:27
  4.398pH         26.5øC 28-12-2003 12:32:57
  4.398pH         26.5øC 28-12-2003 12:33:27
  4.398pH         26.5øC 28-12-2003 12:33:57
  4.398pH         26.5øC 28-12-2003 12:34:27
  4.399pH         26.5øC 28-12-2003 12:34:57
  4.399pH         26.5øC 28-12-2003 12:35:27
  4.398pH         26.5øC 28-12-2003 12:35:57
  4.398pH         26.5øC 28-12-2003 12:36:27
  4.399pH         26.4øC 28-12-2003 12:36:57
  4.399pH         26.4øC 28-12-2003 12:37:27
  4.399pH         26.4øC 28-12-2003 12:37:57
  4.399pH         26.4øC 28-12-2003 12:38:27
  4.398pH         26.4øC 28-12-2003 12:38:57
  4.398pH         26.4øC 28-12-2003 12:39:27
  4.398pH         26.4øC 28-12-2003 12:39:57
  4.398pH         26.4øC 28-12-2003 12:40:27
  4.398pH         26.4øC 28-12-2003 12:40:57
  4.399pH         26.4øC 28-12-2003 12:41:27
  4.398pH         26.3øC 28-12-2003 12:41:57
  4.398pH         26.3øC 28-12-2003 12:42:27
  4.398pH         26.3øC 28-12-2003 12:42:57
  4.399pH         26.3øC 28-12-2003 12:43:27
  4.399pH         26.3øC 28-12-2003 12:43:57
  4.398pH         26.3øC 28-12-2003 12:44:27
  4.398pH         26.3øC 28-12-2003 12:44:57
  4.397pH         26.3øC 28-12-2003 12:45:27
  4.398pH         26.3øC 28-12-2003 12:45:57
  4.398pH         26.3øC 28-12-2003 12:46:27
  4.398pH         26.3øC 28-12-2003 12:46:57
  4.397pH         26.3øC 28-12-2003 12:47:27
  4.397pH         26.3øC 28-12-2003 12:47:57
  4.397pH         26.3øC 28-12-2003 12:48:27
  4.398pH         26.3øC 28-12-2003 12:48:57
  4.398pH         26.2øC 28-12-2003 12:49:27
  4.397pH         26.2øC 28-12-2003 12:49:57
  4.397pH         26.2øC 28-12-2003 12:50:27
  4.397pH         26.2øC 28-12-2003 12:50:57
  4.397pH         26.2øC 28-12-2003 12:51:27
  4.398pH         26.2øC 28-12-2003 12:51:57
  4.397pH         26.2øC 28-12-2003 12:52:27
  4.398pH         26.2øC 28-12-2003 12:52:57
  4.397pH         26.2øC 28-12-2003 12:53:27
  4.397pH         26.2øC 28-12-2003 12:53:57
  4.398pH         26.2øC 28-12-2003 12:54:27
  4.398pH         26.2øC 28-12-2003 12:54:57
  4.398pH         26.2øC 28-12-2003 12:55:27
  4.398pH         26.2øC 28-12-2003 12:55:57
  4.398pH         26.1øC 28-12-2003 12:56:27
  4.398pH         26.1øC 28-12-2003 12:56:57
  4.398pH         26.1øC 28-12-2003 12:57:27
  4.398pH         26.1øC 28-12-2003 12:57:57
  4.398pH         26.1øC 28-12-2003 12:58:27
  4.398pH         26.1øC 28-12-2003 12:58:57
  4.397pH         26.1øC 28-12-2003 12:59:27
  4.398pH         26.1øC 28-12-2003 12:59:57
  4.398pH         26.1øC 28-12-2003 13:00:27
  4.398pH         26.1øC 28-12-2003 13:00:57
  4.398pH         26.1øC 28-12-2003 13:01:27
  4.397pH         26.1øC 28-12-2003 13:01:57
  4.398pH         26.1øC 28-12-2003 13:02:27
  4.398pH         26.1øC 28-12-2003 13:02:57
  4.398pH         26.1øC 28-12-2003 13:03:27
  4.398pH         26.0øC 28-12-2003 13:03:57
  4.397pH         26.0øC 28-12-2003 13:04:27
  4.397pH         26.0øC 28-12-2003 13:04:57
  4.398pH         26.0øC 28-12-2003 13:05:27
  4.398pH         26.0øC 28-12-2003 13:05:57
  4.398pH         26.0øC 28-12-2003 13:06:27
  4.397pH         26.0øC 28-12-2003 13:06:57
  4.398pH         26.0øC 28-12-2003 13:07:27
  4.398pH         26.0øC 28-12-2003 13:07:57
  4.399pH         26.0øC 28-12-2003 13:08:27
  4.399pH         26.0øC 28-12-2003 13:08:57
  4.398pH         26.0øC 28-12-2003 13:09:27
  4.397pH         26.0øC 28-12-2003 13:09:57
  4.399pH         26.0øC 28-12-2003 13:10:27
  4.399pH         26.0øC 28-12-2003 13:10:57
  4.399pH         26.0øC 28-12-2003 13:11:27
  4.399pH         26.0øC 28-12-2003 13:11:57
  4.398pH         26.0øC 28-12-2003 13:12:27
  4.398pH         26.0øC 28-12-2003 13:12:57
  4.399pH         26.0øC 28-12-2003 13:13:27
  4.399pH         26.0øC 28-12-2003 13:13:57
  4.399pH         26.0øC 28-12-2003 13:14:27
  4.398pH         26.0øC 28-12-2003 13:14:57
  4.398pH         26.0øC 28-12-2003 13:15:27
  4.399pH         26.0øC 28-12-2003 13:15:57
  4.399pH         26.0øC 28-12-2003 13:16:27
  4.399pH         26.0øC 28-12-2003 13:16:57
  4.398pH         25.9øC 28-12-2003 13:17:27
  4.398pH         25.9øC 28-12-2003 13:17:57
  4.399pH         25.9øC 28-12-2003 13:18:27
  4.400pH         25.9øC 28-12-2003 13:18:57
  4.399pH         25.9øC 28-12-2003 13:19:27
  4.399pH         25.9øC 28-12-2003 13:19:57
  4.398pH         25.9øC 28-12-2003 13:20:27
  4.398pH         25.9øC 28-12-2003 13:20:57
  4.399pH         25.9øC 28-12-2003 13:21:27
  4.399pH         25.9øC 28-12-2003 13:21:57
  4.399pH         25.9øC 28-12-2003 13:22:27
  4.398pH         25.9øC 28-12-2003 13:22:57
  4.399pH         25.9øC 28-12-2003 13:23:27
  4.399pH         25.9øC 28-12-2003 13:23:57
  4.399pH         25.9øC 28-12-2003 13:24:27
  4.399pH         25.9øC 28-12-2003 13:24:57
  4.398pH         25.9øC 28-12-2003 13:25:27
  4.398pH         25.9øC 28-12-2003 13:25:57
  4.399pH         25.9øC 28-12-2003 13:26:27
  4.399pH         25.9øC 28-12-2003 13:26:57
  4.399pH         25.9øC 28-12-2003 13:27:27
  4.399pH         25.9øC 28-12-2003 13:27:57
  4.398pH         25.9øC 28-12-2003 13:28:27
  4.398pH         25.9øC 28-12-2003 13:28:57
  4.398pH         25.9øC 28-12-2003 13:29:27
  4.399pH         25.9øC 28-12-2003 13:29:57
  4.398pH         25.9øC 28-12-2003 13:30:27
  4.398pH         25.9øC 28-12-2003 13:30:57
  4.399pH         25.9øC 28-12-2003 13:31:27
  4.399pH         25.9øC 28-12-2003 13:31:57
  4.400pH         25.9øC 28-12-2003 13:32:27
  4.399pH         25.8øC 28-12-2003 13:32:57
  4.399pH         25.8øC 28-12-2003 13:33:27
  4.398pH         25.8øC 28-12-2003 13:33:57
  4.398pH         25.8øC 28-12-2003 13:34:27
  4.398pH         25.8øC 28-12-2003 13:34:57
  4.399pH         25.8øC 28-12-2003 13:35:27
  4.398pH         25.8øC 28-12-2003 13:35:57
  4.398pH         25.8øC 28-12-2003 13:36:27
  4.398pH         25.8øC 28-12-2003 13:36:57
  4.398pH         25.8øC 28-12-2003 13:37:27
  4.398pH         25.8øC 28-12-2003 13:37:57
  4.398pH         25.8øC 28-12-2003 13:38:27
  4.397pH         25.8øC 28-12-2003 13:38:57
  4.398pH         25.8øC 28-12-2003 13:39:27
  4.398pH         25.8øC 28-12-2003 13:39:57
  4.398pH         25.8øC 28-12-2003 13:40:27
  4.398pH         25.8øC 28-12-2003 13:40:57
  4.398pH         25.8øC 28-12-2003 13:41:27
  4.398pH         25.8øC 28-12-2003 13:41:57
  4.398pH         25.8øC 28-12-2003 13:42:27
  4.398pH         25.8øC 28-12-2003 13:42:57
  4.398pH         25.8øC 28-12-2003 13:43:27
  4.398pH         25.8øC 28-12-2003 13:43:57
